PLAYER;AGE;W;L;MIN;PTS;FG.;X3P.;FT.
Lance Stephenson;28;33;35;1123;21,0;42,6;37,1;68,5
Trey Lyles;23;42;22;1120;23,4;41,8;25,5;69,8
Avery Bradley;28;31;32;1905;15,7;40,8;35,1;86,0
Bogdan Bogdanovic;26;32;38;1947;24,4;41,8;36,0;82,7
James Johnson;32;27;28;1164;17,7;43,3;33,6;71,4
Russell Westbrook;30;44;29;2629;30,6;42,8;29,0;65,6
Serge Ibaka;29;53;21;2010;26,6;52,9;29,0;76,3
Ivica Zubac;22;32;27;1039;24,2;55,9;0,0;80,2
Nikola Mirotic;28;24;22;1245;26,9;43,9;36,5;84,7
John Wall;28;11;21;1104;28,8;44,4;30,2;69,7
Dewayne Dedmon;29;24;40;1609;20,7;49,2;38,2;81,4
Doug McDermott;27;43;34;1340;20,2;49,1;40,8;83,5
Stanley Johnson;22;28;38;1207;18,0;38,9;28,8;78,1
Kelly Olynyk;27;39;40;1812;20,8;46,3;35,4;82,2
Justise Winslow;23;30;36;1960;20,3;43,3;37,5;62,8
Marc Gasol;34;39;40;2436;21,1;44,8;36,3;75,9
Aaron Gordon;23;40;38;2633;22,7;44,9;34,9;73,1
Kevon Looney;23;56;24;1481;16,2;62,5;10,0;61,9
Mike Scott;30;44;35;1396;15,8;40,0;40,1;66,7
Kyrie Irving;27;37;30;2214;34,6;48,7;40,1;87,3
Jonas Jerebko;32;52;21;1218;18,1;45,9;36,7;80,0
Jayson Tatum;21;48;31;2455;24,3;45,0;37,3;85,5
Jabari Parker;24;18;46;1724;25,9;49,3;31,3;71,2
Josh Okogie;20;32;42;1757;15,6;38,6;27,9;72,8
PJ Tucker;33;53;29;2802;10,3;39,6;37,7;69,5
Terry Rozier;25;47;32;1791;19,0;38,7;35,3;78,5
Clint Capela;24;44;23;2249;23,8;64,8;0,0;63,6
DeAndre' Bembry;24;29;53;1931;17,1;44,6;28,9;64,0
Montrezl Harrell;25;48;34;2158;30,3;61,5;17,6;64,3
Nikola Vucevic;28;41;39;2510;31,8;51,8;36,4;78,9
